desviations_matrix_abs,subj,cond
0.030025297367682,CRES11,CONTROL
0.042103746403926,CRES11,CONTROL
0.012801388585806,CRES11,CONTROL
0.00477933986321399,CRES11,CONTROL
0.0404455229177481,CRES11,CONTROL
0.000944569183106009,CRES11,CONTROL
0.041126539463074,CRES11,CONTROL
0.00530652741751,CRES11,CONTROL
0.039209323886849,CRES11,CONTROL
0.053391897947836,CRES11,CONTROL
0.037995101269371,CRES11,CONTROL
0.00868007069080501,CRES11,CONTROL
0.045544211605748,CRES11,CONTROL
0.012063475000663,CRES11,CONTROL
0.040936132578388,CRES12,CONTROL
0.05713835665882,CRES12,CONTROL
0.027020607864968,CRES12,CONTROL
0.022905672530656,CRES12,CONTROL
0.0456586554741377,CRES12,CONTROL
0.00328618172466699,CRES12,CONTROL
0.0550079128476849,CRES12,CONTROL
0.010670569661617,CRES12,CONTROL
0.0379555977374759,CRES12,CONTROL
0.048430382488101,CRES12,CONTROL
0.000303492225822988,CRES12,CONTROL
0.037292759234032,CRES12,CONTROL
0.0061485057069821,CRES12,CONTROL
0.071342560407544,CRES12,CONTROL
0.0122181210773526,CRES12,CONTROL
0.00980426883032998,CRES12,CONTROL
0.020244715496063,CRES12,CONTROL
0.011424346831251,CRES12,CONTROL
0.036790943638836,CRES12,CONTROL
0.00878053489332198,CRES12,CONTROL
0.0188497253751391,CRES12,CONTROL
0.0184686958762382,CRES12,CONTROL
0.00957904857750003,CRES12,CONTROL
0.010276100971424,CRES12,CONTROL
0.028893660126353,CRES12,CONTROL
0.016403660885173,CRES12,CONTROL
0.017098632825984,CRES12,CONTROL
0.00498538422632,CRES12,CONTROL
0.001465795625123,CRES12,CONTROL
0.0724142647715111,CRES12,CONTROL
0.051947146967694,CRES12,CONTROL
0.009158157123488,CRES12,CONTROL
0.00503644954756,CRES12,CONTROL
0.0257067838944931,CRES12,CONTROL
0.006353699146188,CRES12,CONTROL
0.005426289373199,CRES12,CONTROL
0.00912399684100806,CRES12,CONTROL
0.0182681399254956,CRES12,CONTROL
0.024781896476722,CRES12,CONTROL
0.02592890014639,CRES12,CONTROL
0.109758705800756,CRES12,CONTROL
0.0581840911449599,CRES12,CONTROL
0.00428697357636,CRES12,CONTROL
0.0107419580559865,CRES12,CONTROL
0.048123283060307,CRES12,CONTROL
0.015177426686024,CRES12,CONTROL
0.030698781872318,CRES12,CONTROL
0.0147420953494201,CRES12,CONTROL
0.026349993486493,CRES12,CONTROL
0.055104147208959,CRES12,CONTROL
0.037193359044681,CRES12,CONTROL
0.0362414588024115,CRES12,CONTROL
0.022408920654101,CRES12,CONTROL
0.00115231195722498,CRES12,CONTROL
